index	inventory	page	iso-639	iso-15294	comments	url
124	3687	551	en,ben,fas	215,600,325	Calcutta Gazette; English, Persian, Bengali; sideways. Print	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_3687_0551
125	3715	160	fas	600	Persian	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_3715_0160
126	3715	162	fas	600	Persian	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_3715_0162
127	4384	29	lzh	500	Chinese; upside down	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0029
128	4384	147	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0147
129	4384	154	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0154
130	4384	158	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0158
131	4384	164	lzh	500	Chinese; sideways	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0164
132	4384	166	lzh	500	Chinese	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0166
133	4384	177	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0177
134	4384	183	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0183
135	4384	184	lzh	500	Chinese; upside down	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0184
136	4384	186	lzh	500	Chinese	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0186
137	4384	188	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0188
138	4384	189	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0189
139	4384	190	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0190
140	4384	191	lzh	500	Chinese	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0191
141	4384	196	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0196
142	4384	198	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0198
143	4384	199	lzh,nl	500,215	Chinese, Dutch	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0199
144	4384	500	lzh	500	Chinese	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_4384_0500
145	1292	1221	art	997	Cipher; includes decoding key	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1292_1221
146	1292	1223	art	997	Cipher	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1292_1223
147	1292	1224	art	997	Cipher	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1292_1224
148	1292	1225	art	997	Cipher	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1292_1225
149	1292	1226	art	997	Cipher	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1292_1226
150	1292	1227	art	997	Cipher	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1292_1227
151	1292	1228	art	997	Cipher	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1292_1228
